,Wellbore name,NPDCode,Year,Month,On Stream,Oil,Gas,Water,GI,WI
0,15/9-F-1 C,7405,2014,Apr,227.5,11142.47,1597936.65,0.0,0.0,0.0
1,15/9-F-1 C,7405,2014,May,733.83334,24901.95,3496229.65,783.48,0.0,0.0
2,15/9-F-1 C,7405,2014,Jun,705.91666,19617.76,2886661.69,2068.48,0.0,0.0
3,15/9-F-1 C,7405,2014,Jul,742.41666,15085.68,2249365.75,6243.98,0.0,0.0
4,15/9-F-1 C,7405,2014,Aug,432.99166,6970.43,1048190.8,4529.75,0.0,0.0
5,15/9-F-1 C,7405,2014,Sep,630.3,9168.43,1414099.99,8317.59,0.0,0.0
6,15/9-F-1 C,7405,2014,Oct,745.0,9468.06,1462063.99,10364.87,0.0,0.0
7,15/9-F-1 C,7405,2014,Nov,579.775,6710.33,1044188.3,7234.24,0.0,0.0
8,15/9-F-1 C,7405,2014,Dec,27.5,120.29,25857.08,183.44,0.0,0.0
9,15/9-F-1 C,7405,2015,Jan,479.91667,10875.53,1604934.6,6850.8,0.0,0.0
10,15/9-F-1 C,7405,2015,Feb,437.41667,9586.64,1439453.67,10744.99,0.0,0.0
11,15/9-F-1 C,7405,2015,Mar,320.20833,5879.22,856681.45,11607.44,0.0,0.0
12,15/9-F-1 C,7405,2015,Apr,262.83333,3924.18,566709.81,9815.16,0.0,0.0
13,15/9-F-1 C,7405,2015,May,181.08333,3832.69,559060.34,6167.47,0.0,0.0
14,15/9-F-1 C,7405,2015,Jun,466.44986,6344.5,925337.48,14548.69,0.0,0.0
15,15/9-F-1 C,7405,2015,Jul,241.66667,2093.95,315178.96,8454.26,0.0,0.0
16,15/9-F-1 C,7405,2015,Aug,147.79167,2871.02,427692.59,5334.03,0.0,0.0
17,15/9-F-1 C,7405,2015,Sep,384.4668,6460.27,961548.42,14767.12,0.0,0.0
18,15/9-F-1 C,7405,2015,Oct,367.79986,4085.8,631372.56,13538.71,0.0,0.0
19,15/9-F-1 C,7405,2015,Nov,301.25833,3332.05,508384.43,11682.31,0.0,0.0
20,15/9-F-1 C,7405,2015,Dec,197.65833,2949.42,454911.3,6231.55,0.0,0.0
21,15/9-F-1 C,7405,2016,Jan,387.68334,2981.44,471675.96,14036.28,0.0,0.0
22,15/9-F-1 C,7405,2016,Feb,484.48332,4718.03,742339.77,15945.73,0.0,0.0
23,15/9-F-1 C,7405,2016,Mar,356.75833,2917.5,476830.19,13410.89,0.0,0.0
24,15/9-F-1 C,7405,2016,Apr,140.82499,1671.69,274213.17,4441.13,0.0,0.0
25,15/9-F-11,7078,2013,Jul,112.91514,3923.08,590504.52,0.0,0.0,0.0
26,15/9-F-11,7078,2013,Aug,586.71667,25496.07,3871942.31,520.01,0.0,0.0
27,15/9-F-11,7078,2013,Sep,538.91667,23775.08,3661574.0,1573.61,0.0,0.0
28,15/9-F-11,7078,2013,Oct,678.49991,34114.5,5272724.29,1926.53,0.0,0.0
29,15/9-F-11,7078,2013,Nov,712.0,35386.35,5413486.14,3791.22,0.0,0.0
30,15/9-F-11,7078,2013,Dec,662.08335,33405.75,5190658.82,4963.26,0.0,0.0
31,15/9-F-11,7078,2014,Jan,668.08333,34552.37,5193353.22,4343.49,0.0,0.0
32,15/9-F-11,7078,2014,Feb,562.66666,28189.97,4255282.68,2841.37,0.0,0.0
